date, pm25, pm10, o3, no2, co
2015/9/27, 22, 8, 23, 4, 1
2015/9/28, 22, 7, 26, 7, 1
2015/9/29, 22, 7, 30, 3, 1
2015/9/30, 24, 10, 31, 1, 1
2015/4/6, 38, 10, 33, 2, 1
2015/4/7, 28, 12, 28, 2, 1
2015/4/8, 27, 15, 34, 1, 1
2015/4/9, 41, 15, 31, 5, 1
2015/4/10, 39, 19, 35, 4, 1
2015/4/11, 48, 11, 38, 6, 2
2015/4/12, 23, 13, 35, , 1
2015/4/13, 25, 14, 33, , 1
2015/4/14, 32, 9, 31, 2, 1
2015/4/15, 27, 13, 35, 1, 1
2015/4/16, 27, 10, 36, , 1
2015/4/17, 25, 7, 34, 1, 1
2015/4/18, 25, 9, 36, 1, 1
2015/4/19, 27, 9, 32, 2, 1
2015/4/20, 21, 17, 39, 1, 1
2015/4/21, 40, 19, 37, 2, 1
2015/4/22, 39, 12, 37, 1, 1
2015/4/23, 29, 11, 30, 1, 1
2015/4/24, 31, 16, 33, 1, 1
2015/4/25, 47, 6, 33, 4, 1
2015/4/26, 19, 8, 35, 1, 1
2015/4/27, 25, 10, 32, 1, 1
2015/4/28, 24, 12, 35, , 1
2015/4/29, 31, 9, 33, 2, 1
2015/4/30, 26, 8, 36, 4, 1
2015/5/1, 30, 9, 43, 3, 1
2015/5/2, 26, 10, 41, , 1
2015/5/3, 27, 14, 41, 1, 1
2015/5/4, 44, 12, 40, 2, 1
2015/5/5, 33, 16, 40, 4, 1
2015/5/6, 35, 9, 47, 2, 1
2015/5/7, 24, 9, 39, 1, 1
2015/5/8, 25, 12, 41, 1, 1
2015/5/9, 35, 9, 35, 5, 1
2015/5/10, 24, 14, 37, 1, 1
2015/5/11, 32, 12, 35, 4, 1
2015/5/12, 34, 11, 38, 3, 1
2015/5/13, 25, 12, 35, , 1
2015/5/14, 32, 10, 36, 1, 1
2015/5/15, 29, 13, 36, 1, 1
2015/5/16, 32, 14, 36, 1, 1
2015/5/17, 29, 10, 35, , 1
2015/5/18, 26, 9, 34, 1, 1
2015/5/19, 27, 9, 36, 1, 1
2015/5/20, 28, 11, 37, 2, 1
2015/5/21, 30, 14, 38, 1, 1
2015/5/22, 36, 13, 40, 1, 1
2015/5/23, 31, 14, 36, , 1
